address,command,button
179,135,PROFILE 10
179,138,PROFILE 7
179,139,PROFILE 8
179,142,PROFILE 4
179,143,PROFILE 5
179,146,PROFILE 1
179,147,PROFILE 2
179,153,LEFT
179,176,RGB
179,177,YPbPr
179,178,Y/C
179,179,CV
179,180,SCV
179,181,YSD
179,182,LOAD
179,183,SAVE
179,184,ABOUT
179,185,STAT
179,186,PHASE +
179,187,PROC
179,188,SYNC LOCK
179,189,PHASE -
179,190,SAFE
179,191,SYNC BUF
179,193,RIGHT
179,196,PROFILE 9
179,197,BACK
179,200,PROFILE 6
179,202,UP
179,204,PROFILE 3
179,206,ENTER
179,208,1080pO
179,209,1080pF
179,210,DOWN
179,211,1080pU
179,212,720p
179,213,1440p2
179,214,1440p1
179,215,240p
179,216,480i
179,217,INPUT
179,218,OUT
179,219,SCL
179,220,POWER
179,221,SAMP
179,222,SDP
179,223,ADC
179,224,HDMI
179,225,AUX1
179,226,MENU
179,227,AUX3
179,228,AUX4
179,229,AUX2
179,230,INTP
